"","Var1","Pre N","(%)","Post N","(%)"
"1",NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA
"3",NA,NA,NA,NA,NA
"4","Bennington County Head Start","31","1.16497557309282","28","1.24610591900312"
"5","Benton Franklin Head Start","83","3.11912814731304","82","3.64931019136627"
"6","Cattaraugus & Wyoming Counties Project Head Start","83","3.11912814731304","82","3.64931019136627"
"7","CenClear Child Services","94","3.53250657647501","94","4.18335558522474"
"8","Center for New Communities","81","3.04396843291995","70","3.11526479750779"
"9","Centro de la Familia de Utah Head Start","44","1.65351371664788","19","0.845571873609257"
"10","Cheaha Regional Head Start","100","3.75798571965427","100","4.45037828215398"
"11","Child Care Associates","101","3.79556557685081","76","3.38228749443703"
"12","Community Action Committee of PIKE County","101","3.79556557685081","101","4.49488206497552"
"13","Community Action, Inc. of Central Texas","100","3.75798571965427","71","3.15976858032933"
"14","Concerted Services","101","3.79556557685081","83","3.69381397418781"
"15","Douglass Community Services","115","4.32168357760241","109","4.85091232754784"
"16","HELP - New Mexico, Inc.","90","3.38218714768884","44","1.95816644414775"
"17","HRDC Head Start/Early Head Start","88","3.30702743329575","21","0.934579439252336"
"18","Lakes and Prairies Head Start","118","4.43442314919203","104","4.62839341344014"
"19","Lawrence County Community Action","96","3.60766629086809","96","4.27236315086782"
"20","Lucas County Head Start","25","0.939496429913566","25","1.1125945705385"
"21","Matura Head Start","107","4.02104472003006","82","3.64931019136627"
"22","Pacific Clinics Head Start/Early Head Start","69","2.59301014656144","59","2.62572318647085"
"23","Paducah Head Start","20","0.751597143930853","20","0.890075656430797"
"24","Para Los Ninos","106","3.98346486283352","106","4.71740097908322"
"25","Pocatello/Chubbuck SD#25 Head Start","58","2.17963171739947","58","2.58121940364931"
"26","Reno-Sparks Indian Colony Head Start","11","0.413378429161969","11","0.489541611036938"
"27","STEP Inc.","8","0.300638857572341",NA,NA
"28","Santa Clara County Head Start/Early Head Start","88","3.30702743329575","88","3.91633288829551"
"29","Singing River Educational Association, Inc. Head Start","100","3.75798571965427","100","4.45037828215398"
"30","Sisseton Wahpeton Oyate Head Start","83","3.11912814731304","52","2.31419670672007"
"31","Southern Oregon Head Start","50","1.87899285982713","47","2.09167779261237"
"32","St. Joseph Head Start","110","4.13378429161969","101","4.49488206497552"
"33","Sunbeam Family Services","19","0.71401728673431","13","0.578549176680018"
"34","Tarrant County Childcare Management Services","30","1.12739571589628","30","1.33511348464619"
"35","The Oregon State University Child Development Center","5","0.187899285982713",NA,NA
"36","Tulsa Educare, Inc.","30","1.12739571589628","28","1.24610591900312"
"37","USC School for Early Childhood Education","100","3.75798571965427","100","4.45037828215398"
"38","Warren County Head Start","70","2.63059000375799","38","1.69114374721851"
"39","Wild Plum Center","77","2.89364900413378","62","2.75923453493547"
