Date,Price,Recession
1871.01,89.86,N
1871.02,88.37,N
1871.03,89.21,N
1871.04,95.20,N
1871.05,99.88,N
1871.06,100.62,N
1871.07,98.74,N
1871.08,101.59,N
1871.09,100.25,N
1871.1,93.61,N
1871.11,94.63,N
1871.12,94.49,N
1872.01,96.88,N
1872.02,97.28,N
1872.03,98.98,N
1872.04,99.52,N
1872.05,99.52,N
1872.06,99.28,N
1872.07,100.16,N
1872.08,98.25,N
1872.09,95.79,N
1872.1,98.33,N
1872.11,95.10,N
1872.12,98.84,N
1873.01,99.62,N
1873.02,98.23,N
1873.03,97.47,N
1873.04,96.13,N
1873.05,98.45,N
1873.06,100.02,N
1873.07,99.82,N
1873.08,99.82,N
1873.09,92.19,N
1873.1,86.11,Y
1873.11,85.69,Y
1873.12,91.55,Y
1874.01,95.04,Y
1874.02,97.89,Y
1874.03,96.46,Y
1874.04,95.28,Y
1874.05,93.52,Y
1874.06,95.36,Y
1874.07,94.59,Y
1874.08,95.57,Y
1874.09,97.07,Y
1874.1,98.44,Y
1874.11,100.13,Y
1874.12,99.47,Y
1875.01,99.47,Y
1875.02,99.26,Y
1875.03,100.57,Y
1875.04,101.05,Y
1875.05,99.59,Y
1875.06,99.25,Y
1875.07,99.48,Y
1875.08,99.08,Y
1875.09,99.02,Y
1875.1,97.44,Y
1875.11,99.88,Y
1875.12,100.75,Y
1876.01,103.72,Y
1876.02,105.12,Y
1876.03,104.89,Y
1876.04,101.82,Y
1876.05,101.67,Y
1876.06,103.80,Y
1876.07,102.55,Y
1876.08,97.38,Y
1876.09,90.58,Y
1876.1,88.45,Y
1876.11,85.99,Y
1876.12,83.99,Y
1877.01,81.84,Y
1877.02,79.06,Y
1877.03,78.55,Y
1877.04,70.86,Y
1877.05,69.59,Y
1877.06,68.28,Y
1877.07,70.62,Y
1877.08,78.51,Y
1877.09,84.22,Y
1877.1,86.03,Y
1877.11,86.43,Y
1877.12,86.16,Y
1878.01,88.83,Y
1878.02,87.82,Y
1878.03,91.38,Y
1878.04,94.93,Y
1878.05,98.39,Y
1878.06,102.73,Y
1878.07,103.67,Y
1878.08,101.63,Y
1878.09,103.69,Y
1878.1,103.67,Y
1878.11,104.54,Y
1878.12,106.36,Y
1879.01,109.10,Y
1879.02,111.77,Y
1879.03,111.23,Y
1879.04,116.22,N
1879.05,121.46,N
1879.06,123.52,N
1879.07,124.55,N
1879.08,125.47,N
1879.09,125.71,N
1879.1,132.00,N
1879.11,132.02,N
1879.12,127.88,N
1880.01,129.03,N
1880.02,131.30,N
1880.03,132.56,N
1880.04,134.64,N
1880.05,127.74,N
1880.06,130.92,N
1880.07,136.93,N
1880.08,141.85,N
1880.09,140.14,N
1880.1,144.19,N
1880.11,150.24,N
1880.12,154.83,N
1881.01,165.77,N
1881.02,163.58,N
1881.03,165.44,N
1881.04,163.27,N
1881.05,172.33,N
1881.06,174.45,N
1881.07,166.69,N
1881.08,159.59,N
1881.09,154.86,N
1881.1,150.97,N
1881.11,153.37,N
1881.12,148.91,N
1882.01,146.68,N
1882.02,142.13,N
1882.03,141.89,Y
1882.04,140.59,Y
1882.05,137.62,Y
1882.06,135.67,Y
1882.07,144.61,Y
1882.08,147.61,Y
1882.09,153.18,Y
1882.1,150.40,Y
1882.11,145.32,Y
1882.12,147.46,Y
1883.01,146.70,Y
1883.02,142.07,Y
1883.03,145.18,Y
1883.04,149.64,Y
1883.05,148.52,Y
1883.06,154.30,Y
1883.07,155.01,Y
1883.08,147.98,Y
1883.09,151.15,Y
1883.1,147.05,Y
1883.11,150.79,Y
1883.12,145.95,Y
1884.01,141.58,Y
1884.02,145.41,Y
1884.03,144.86,Y
1884.04,141.21,Y
1884.05,132.56,Y
1884.06,127.14,Y
1884.07,128.53,Y
1884.08,136.59,Y
1884.09,133.73,Y
1884.1,130.79,Y
1884.11,131.05,Y
1884.12,132.26,Y
1885.01,129.21,Y
1885.02,131.66,Y
1885.03,135.03,Y
1885.04,133.17,Y
1885.05,134.74,Y
1885.06,137.35,N
1885.07,140.77,N
1885.08,148.66,N
1885.09,148.53,N
1885.1,157.16,N
1885.11,165.38,N
1885.12,160.31,N
1886.01,164.12,N
1886.02,167.28,N
1886.03,165.78,N
1886.04,165.54,N
1886.05,166.36,N
1886.06,176.19,N
1886.07,176.64,N
1886.08,175.77,N
1886.09,180.35,N
1886.1,184.93,N
1886.11,189.51,N
1886.12,182.35,N
1887.01,176.12,N
1887.02,172.80,N
1887.03,176.85,Y
1887.04,180.91,Y
1887.05,184.03,Y
1887.06,180.85,Y
1887.07,178.56,Y
1887.08,172.01,Y
1887.09,171.85,Y
1887.1,164.12,Y
1887.11,165.31,Y
1887.12,160.60,Y
1888.01,159.98,Y
1888.02,160.90,Y
1888.03,154.81,Y
1888.04,157.22,Y
1888.05,161.26,N
1888.06,158.13,N
1888.07,160.32,N
1888.08,163.75,N
1888.09,167.81,N
1888.1,164.93,N
1888.11,159.68,N
1888.12,156.63,N
1889.01,165.38,N
1889.02,169.29,N
1889.03,167.80,N
1889.04,167.48,N
1889.05,176.31,N
1889.06,179.29,N
1889.07,175.64,N
1889.08,177.96,N
1889.09,180.02,N
1889.1,176.75,N
1889.11,175.11,N
1889.12,172.01,N
1890.01,178.29,N
1890.02,176.31,N
1890.03,174.98,N
1890.04,178.63,N
1890.05,183.95,N
1890.06,182.64,N
1890.07,181.33,Y
1890.08,170.75,Y
1890.09,165.93,Y
1890.1,158.45,Y
1890.11,150.45,Y
1890.12,146.93,Y
1891.01,156.49,Y
1891.02,156.52,Y
1891.03,151.81,Y
1891.04,155.02,Y
1891.05,156.23,Y
1891.06,156.81,N
1891.07,156.13,N
1891.08,161.36,N
1891.09,176.64,N
1891.1,176.64,N
1891.11,176.19,N
1891.12,181.56,N
1892.01,189.72,N
1892.02,190.06,N
1892.03,197.25,N
1892.04,199.56,N
1892.05,199.56,N
1892.06,198.48,N
1892.07,193.26,N
1892.08,193.50,N
1892.09,188.68,N
1892.1,192.47,N
1892.11,186.93,N
1892.12,182.60,N
1893.01,179.20,Y
1893.02,173.91,Y
1893.03,171.68,Y
1893.04,173.80,Y
1893.05,160.40,Y
1893.06,156.69,Y
1893.07,145.82,Y
1893.08,148.18,Y
1893.09,152.44,Y
1893.1,154.94,Y
1893.11,161.55,Y
1893.12,158.00,Y
1894.01,159.07,Y
1894.02,163.55,Y
1894.03,173.29,Y
1894.04,175.59,Y
1894.05,169.06,Y
1894.06,166.76,Y
1894.07,163.30,N
1894.08,164.67,N
1894.09,164.96,N
1894.1,164.38,N
1894.11,164.38,N
1894.12,165.22,N
1895.01,163.30,N
1895.02,160.99,N
1895.03,160.99,N
1895.04,160.91,N
1895.05,167.43,N
1895.06,168.39,N
1895.07,171.42,N
1895.08,176.38,N
1895.09,177.48,N
1895.1,174.91,N
1895.11,169.01,N
1895.12,161.31,Y
1896.01,161.72,Y
1896.02,170.98,Y
1896.03,168.29,Y
1896.04,172.33,Y
1896.05,174.11,Y
1896.06,173.53,Y
1896.07,162.29,Y
1896.08,153.05,Y
1896.09,161.08,Y
1896.1,159.85,Y
1896.11,165.89,Y
1896.12,159.83,Y
1897.01,164.53,Y
1897.02,162.97,Y
1897.03,163.36,Y
1897.04,160.66,Y
1897.05,163.89,Y
1897.06,171.53,Y
1897.07,179.16,N
1897.08,182.51,N
1897.09,185.96,N
1897.1,182.55,N
1897.11,176.12,N
1897.12,179.90,N
1898.01,184.83,N
1898.02,181.85,N
1898.03,173.64,N
1898.04,170.65,N
1898.05,169.89,N
1898.06,188.95,N
1898.07,192.40,N
1898.08,199.60,N
1898.09,199.22,N
1898.1,195.05,N
1898.11,201.49,N
1898.12,210.98,N
1899.01,227.03,N
1899.02,229.17,N
1899.03,232.43,N
1899.04,232.16,N
1899.05,222.49,N
1899.06,214.57,Y
1899.07,219.07,Y
1899.08,221.74,Y
1899.09,211.10,Y
1899.1,207.51,Y
1899.11,208.86,Y
1899.12,192.29,Y
1900.01,194.85,Y
1900.02,196.00,Y
1900.03,197.58,Y
1900.04,200.10,Y
1900.05,195.28,Y
1900.06,191.80,Y
1900.07,189.46,Y
1900.08,194.42,Y
1900.09,187.52,Y
1900.1,196.71,Y
1900.11,212.10,Y
1900.12,227.67,Y
1901.01,231.41,N
1901.02,240.27,N
1901.03,248.88,N
1901.04,273.18,N
1901.05,259.42,N
1901.06,285.26,N
1901.07,262.80,N
1901.08,263.16,N
1901.09,258.65,N
1901.1,255.74,N
1901.11,258.09,N
1901.12,250.92,N
1902.01,259.37,N
1902.02,261.61,N
1902.03,261.93,N
1902.04,267.65,N
1902.05,263.87,N
1902.06,259.26,N
1902.07,265.12,N
1902.08,275.41,N
1902.09,272.83,Y
1902.1,246.97,Y
1902.11,245.46,Y
1902.12,237.14,Y
1903.01,246.47,Y
1903.02,245.02,Y
1903.03,243.43,Y
1903.04,233.49,Y
1903.05,234.29,Y
1903.06,221.35,Y
1903.07,211.17,Y
1903.08,204.39,Y
1903.09,197.16,Y
1903.1,192.98,Y
1903.11,195.88,Y
