time,sb,snb,tv,tv1,trans,trans1,trans2,w1,w2,w3,w4,w5,w6,w7,sb1,sb2,sb3,sb4,sb5,sb6,sb7,snb1,snb2,snb3,snb4,snb5,snb6,snb7,tv1,tv2,tv3,tv4,tv5,tv6,tv7,sbm3,sbm4,sbm5,sbm6,sbm8,sbm10,snbm3,snbm4,snbm5,snbm6,snbm8,snbm10,tvm3,tvm4,tvm5,tvm6,tvm8,tvm10
4/1/2016,0,26659.8,0,,1140,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/2/2016,0,24792.2,0,0,1082.5,1140,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,26659.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/3/2016,0,23345.23,0,0,1187.5,1082.5,1140,0,0,0,0,0,0,1,0,0,0,0,0,0,0,24792.2,26659.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24932.41,0,0,0,0,0,0,0,0,0,0,0
4/4/2016,0,18294.98,0,0,1082.5,1187.5,1082.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23345.23,24792.2,26659.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22144.14,23273.05,0,0,0,0,0,0,0,0,0,0
4/5/2016,0,13665.93,0,0,655,1082.5,1187.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18294.98,23345.23,24792.2,26659.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18435.38,20024.59,21351.63,0,0,0,0,0,0,0,0,0
4/6/2016,0,12468.23,0,0,535,655,1082.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13665.93,18294.98,23345.23,24792.2,26659.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14809.71,16943.59,18513.31,19871.06,0,0,0,0,0,0,0,0
4/7/2016,0,17064.83,0,0,932.5,535,655,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12468.23,13665.93,18294.98,23345.23,24792.2,26659.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14399.66,15373.49,16967.84,18271.9,0,0,0,0,0,0,0,0
4/8/2016,0,18799.68,0,0,937.5,932.5,535,0,0,0,0,1,0,0,0,0,0,0,0,0,0,17064.83,12468.23,13665.93,18294.98,23345.23,24792.2,26659.8,0,0,0,0,0,0,0,0,0,0,0,0,0,16110.91,15499.67,16058.73,17273.15,19386.36,0,0,0,0,0,0,0
4/9/2016,0,18305.93,0,0,872.5,937.5,932.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18799.68,17064.83,12468.23,13665.93,18294.98,23345.23,24792.2,0,0,0,0,0,0,0,0,0,0,0,0,0,18056.81,16659.67,16060.92,16433.26,18342.13,0,0,0,0,0,0,0
4/10/2016,0,20051.55,0,0,787.5,872.5,937.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18305.93,18799.68,17064.83,12468.23,13665.93,18294.98,23345.23,0,0,0,0,0,0,0,0,0,0,0,0,19344.84,19052.39,18555.5,17338.04,16726.03,17749.55,19344.84,0,0,0,0,0,0
4/11/2016,0,20512.58,0,0,837.5,787.5,872.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20051.55,18305.93,18799.68,17064.83,12468.23,13665.93,18294.98,0,0,0,0,0,0,0,0,0,0,0,0,18730.11,19623.35,19417.44,18946.91,17867.13,17395.46,18730.11,0,0,0,0,0,0
4/12/2016,0,18087.8,0,0,535,837.5,787.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20512.58,20051.55,18305.93,18799.68,17064.83,12468.23,13665.93,0,0,0,0,0,0,0,0,0,0,0,0,18059.67,19550.64,19239.47,19151.51,18803.73,17369.57,18059.67,0,0,0,0,0,0
4/13/2016,0,18252.1,0,0,510,535,837.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18087.8,20512.58,20051.55,18305.93,18799.68,17064.83,12468.23,0,0,0,0,0,0,0,0,0,0,0,0,17550.36,18950.83,19226.01,19041.99,19001.61,17942.84,17550.36,0,0,0,0,0,0
4/14/2016,0,26359.35,0,0,897.5,510,535,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18252.1,18087.8,20512.58,20051.55,18305.93,18799.68,17064.83,0,0,0,0,0,0,0,0,0,0,0,0,18356.8,20899.75,20802.96,20652.68,20261.55,19679.23,18356.8,0,0,0,0,0,0
4/15/2016,0,27785.53,0,0,3790,897.5,510,0,0,0,0,1,0,0,0,0,0,0,0,0,0,26359.35,18252.1,18087.8,20512.58,20051.55,18305.93,18799.68,0,0,0,0,0,0,0,0,0,0,0,0,19768.76,24132.33,22621.2,22199.47,21841.49,21019.32,19768.76,0,0,0,0,0,0
4/16/2016,0,23613.8,0,0,1345,3790,897.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,27785.53,26359.35,18252.1,18087.8,20512.58,20051.55,18305.93,0,0,0,0,0,0,0,0,0,0,0,0,20883.32,25919.56,24002.7,22819.72,22435.19,21621.08,20883.32,0,0,0,0,0,0
